Origem;Data_recebimento;Id_consumidor;Tipo_pessoa;Id_inad1;Id_inad2;Tipo_baixa;Contagem;Data_mov;Comando
0aa1883c6411f7873cb83dacb17b0afc;20200807;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;2;20200722.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210115;edf6c0cb7696ea41952bb20a5d606a56;F;c4ca4238a0b923820dcc509a6f75849b;1177967c7957072da3dc1db4ceb30e7a;12;1;20160727.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210715;edf6c0cb7696ea41952bb20a5d606a56;F;c4ca4238a0b923820dcc509a6f75849b;1177967c7957072da3dc1db4ceb30e7a;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;edf6c0cb7696ea41952bb20a5d606a56;F;c4ca4238a0b923820dcc509a6f75849b;1177967c7957072da3dc1db4ceb30e7a;12;3;20160727.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210616;edf6c0cb7696ea41952bb20a5d606a56;F;c4ca4238a0b923820dcc509a6f75849b;1177967c7957072da3dc1db4ceb30e7a;12;1;20160727.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;a9a4c23e7d7a4c09d6f64d0a167e957a;F;182be0c5cdcd5072bb1864cdee4d3d6e;752d2c9ecfe079e5e5f3539f4d750e5c;12;4;20170825.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220215;8b25d397472355e0a004ba704a18cf42;F;c4ca4238a0b923820dcc509a6f75849b;7f24d240521d99071c93af3917215ef7;12;1;20220214.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220317;8b25d397472355e0a004ba704a18cf42;F;c4ca4238a0b923820dcc509a6f75849b;7f24d240521d99071c93af3917215ef7;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200711;2c42e5844dc77eddb0fecf767aa568e8;F;3dd48ab31d016ffcbf3314df2b3cb9ce;3fd60983292458bf7dee75f12d5e9e05;12;1;20200625.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200829;2c42e5844dc77eddb0fecf767aa568e8;F;3dd48ab31d016ffcbf3314df2b3cb9ce;3fd60983292458bf7dee75f12d5e9e05;12;1;20200813.0;10.0
